2025/01/02,620,38000
2025/01/03,625,41200
2025/01/06,630,46150
2025/01/07,628,44900
2025/01/08,635,42300
2025/01/09,640,40850
2025/01/10,642,39200
2025/01/13,645,43100
2025/01/14,650,45600
2025/01/15,655,47800
2025/01/16,660,44700
2025/01/17,662,42900
2025/01/20,668,40300
2025/01/21,670,41500
2025/01/22,675,43800
2025/01/23,678,39600
2025/01/24,680,38900
2025/01/27,685,40100
2025/01/28,690,41200
2025/01/29,695,42700
2025/01/30,700,44100
2025/01/31,705,43600
2025/02/03,710,41900
2025/02/04,715,40800
2025/02/05,720,39700
2025/02/06,725,38600
2025/02/07,730,37500
2025/02/12,735,42300
2025/02/13,740,44800
2025/02/14,745,46900
2025/02/17,750,45200
2025/02/18,755,43500
2025/02/19,760,41800
2025/02/20,765,40100
2025/02/21,770,38400
2025/02/24,775,39900
2025/02/25,780,41300
2025/02/26,785,42800
2025/02/27,790,44200
2025/02/28,795,45700
2025/03/03,800,47100
2025/03/04,805,48600
2025/03/05,810,50000
2025/03/06,815,51500
2025/03/07,820,53000
2025/03/10,825,51099
2025/03/11,830,58056
2025/03/12,835,37173
2025/03/13,840,40918
2025/03/14,845,37780
2025/03/17,850,33236
2025/03/18,855,22882
2025/03/19,860,40214
2025/03/20,865,30347
2025/03/21,870,40379
2025/03/24,875,16842
2025/03/25,880,27854
2025/03/26,885,22464
2025/03/27,890,38792
2025/03/28,895,36305
2025/03/31,900,58418
2025/04/01,905,33568
2025/04/02,910,25959
2025/04/03,915,25000
2025/04/08,920,128197
2025/04/09,925,122045
2025/04/10,930,28397
2025/04/11,935,81265
2025/04/14,940,40000
2025/04/15,945,41000
2025/04/16,950,42000
2025/04/17,955,43000
2025/04/18,960,44000
2025/04/21,965,45000
2025/04/22,816,16000
2025/04/23,873,13563
2025/04/24,864,3006
2025/04/25,888,11407
2025/04/28,897,6553
2025/04/29,902,4734
2025/04/30,908,6218
2025/05/02,950,18469
2025/05/05,938,2464
2025/05/06,920,5050
2025/05/07,928,3342
2025/05/08,918,508
2025/05/09,949,12006
2025/05/12,957,1384
2025/05/13,969,5608
2025/05/14,999,18226
2025/05/15,993,2302
2025/05/16,998,26
2025/05/19,984,4139
2025/05/20,978,2853
2025/05/21,990,5765
2025/05/22,982,3886
2025/05/23,984,2799
2025/05/26,976,733
2025/05/27,965,8297
2025/05/28,967,239
2025/05/29,967,4094
2025/06/02,946,10992
2025/06/03,950,346
2025/06/04,990,14661
2025/06/05,998,24366
